Circuit,Type,Direction,Location,Country,Last length used,Turns,Grands Prix,Season(s),Latitude,Longitude,Grands Prix held
Red Bull Ring *,Race circuit,Clockwise,Spielberg,Austria,4.318 km (2.683 mi),10,"Austrian Grand Prix,Styrian Grand Prix","1970–1987, 1997–2003, 2014–2024[c]",47°13′11″N,14°45′53″E,38
Riverside International Raceway,Race circuit,Clockwise,Moreno Valley,United States,5.271 km (3.275 mi),9,United States Grand Prix,1960,33°56′00.2″N,117°16′20.2″W,1
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,French Grand Prix,"1952, 1957, 1962, 1964, 1968",49°19′50.3″N,1°0′16.5″E,5
Scandinavian Raceway,Race circuit,Clockwise,Anderstorp,Sweden,4.031 km (2.505 mi),8,Swedish Grand Prix,1973–1978,57°15′51″N,13°36′5″E,6
Sebring Raceway,Road circuit,Clockwise,Sebring,United States,8.356 km (5.192 mi),12,United States Grand Prix,1959,27°27′18.0″N,81°20′60.0″W,1
Sepang International Circuit,Race circuit,Clockwise,Sepang,Malaysia,5.543 km (3.444 mi),15,Malaysian Grand Prix,1999–2017,2°45′38″N,101°44′15″E,19
Shanghai International Circuit *,Race circuit,Clockwise,Shanghai,China,5.451 km (3.387 mi),16,Chinese Grand Prix,"2004–2019, 2024–2025",31°20′20″N,121°13′11″E,18
Silverstone Circuit *,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,"British Grand Prix,70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2024[a]",52°04′16″N,1°00′58″W,59
Sochi Autodrom,Race circuit,Clockwise,Sochi,Russia,5.848 km (3.634 mi),15,Russian Grand Prix,2014–2021,43°24′37″N,39°58′5.78″E,8
Suzuka International Racing Course *,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km (3.608 mi),18,Japanese Grand Prix,"1987–2006, 2009–2019, 2022–2025",34°50′30″N,136°32′20″E,35
TI Circuit Aida,Race circuit,Clockwise,Mimasaka,Japan,3.703 km (2.301 mi),11,Pacific Grand Prix,1994–1995,34°54′54″N,134°13′16″E,2
Valencia Street Circuit,Street circuit,Clockwise,Valencia,Spain,5.419 km (3.367 mi),25,European Grand Prix,2008–2012,39°27′31.6″N,0°19′32″W,5
Watkins Glen International,Race circuit,Clockwise,Watkins Glen,United States,5.430 km (3.374 mi),10,United States Grand Prix,1961–1980,42°20′13″N,76°55′37″W,20
Yas Marina Circuit *,Race circuit,Anti-clockwise,Abu Dhabi,United Arab Emirates,5.281 km (3.281 mi),15,Abu Dhabi Grand Prix,2009–2024,24°28′2″N,54°36′11″E,16
Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,Austria,3.186 km (1.980 mi),4,Austrian Grand Prix,1964,47°12′8″N,14°44′32″E,1
