Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1956,1958,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1961,1969,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1971,1976,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1984,1985,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,1995,2007,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,2009,2009,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,2011,2011,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,2013,2013,False,69792
Nürburgring,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,50.3356,6.9475,41,2020,2020,False,69792
Pescara Circuit,Road circuit,Clockwise,Pescara,Italy,25.800 km (16.031 mi),24*,42.475,14.1508,1,1957,1957,False,80073
Phoenix Street Circuit,Street circuit,Anti-clockwise,Phoenix,United States,3.720 km (2.312 mi),12,33.4479,-112.0746,3,1989,1991,False,60836
Prince George Circuit,Race circuit,Clockwise,East London,South Africa,3.920 km (2.436 mi),8,-33.0486,27.8736,3,1962,1963,False,66635
Prince George Circuit,Race circuit,Clockwise,East London,South Africa,3.920 km (2.436 mi),8,-33.0486,27.8736,3,1965,1965,False,66635
Red Bull Ring,Race circuit,Clockwise,Spielberg,Austria,4.318 km (2.683 mi),10,47.2197,14.7647,38,1970,1987,False,23561
Red Bull Ring,Race circuit,Clockwise,Spielberg,Austria,4.318 km (2.683 mi),10,47.2197,14.7647,38,1997,2003,False,23561
Red Bull Ring,Race circuit,Clockwise,Spielberg,Austria,4.318 km (2.683 mi),10,47.2197,14.7647,38,2014,2025,True,23561
Riverside International Raceway,Race circuit,Clockwise,Moreno Valley,United States,5.271 km (3.275 mi),9,33.9334,-117.2723,1,1960,1960,False,35739
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,49.3306,1.0046,5,1952,1952,False,54184
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,49.3306,1.0046,5,1957,1957,False,54184
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,49.3306,1.0046,5,1962,1962,False,54184
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,49.3306,1.0046,5,1964,1964,False,54184
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),13,49.3306,1.0046,5,1968,1968,False,54184
Scandinavian Raceway,Race circuit,Clockwise,Anderstorp,Sweden,4.031 km (2.505 mi),8,57.2642,13.6014,6,1973,1978,False,12945
Sebring Raceway,Road circuit,Clockwise,Sebring,United States,8.356 km (5.192 mi),12,27.455,-81.35,1,1959,1959,False,33478
Sepang International Circuit,Race circuit,Clockwise,Sepang,Malaysia,5.543 km (3.444 mi),15,2.7606,101.7375,19,1999,2017,False,83597
Shanghai International Circuit,Race circuit,Clockwise,Shanghai,China,5.451 km (3.387 mi),16,31.3389,121.2197,18,2004,2019,False,47869
Shanghai International Circuit,Race circuit,Clockwise,Shanghai,China,5.451 km (3.387 mi),16,31.3389,121.2197,18,2024,2025,True,47869
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1950,1954,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1956,1956,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1958,1958,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1960,1960,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1963,1963,False,18634
